YEAR	SEMESTER	COURSE NO	COURSE DESCRIPTION	UNITS	PREREQUISITE
0	ELECTIVE	CSE 15	Data Mining	2	3rd year standing
0	ELECTIVE	CSE 15L	Data Mining (Lab)	1	3rd year standing
0	ELECTIVE	CSE 16	Design and Analysis of Algorithms	3	3rd year standing
0	ELECTIVE	CSE 17	Operations Research	3	3rd year standing
0	ELECTIVE	CSE 18	Machine Learning	3	3rd year standing
0	ELECTIVE	CSE 19	Compiler Design	3	3rd year standing
0	ELECTIVE	CSE 20	Advanced Security Concepts	3	3rd year standing
0	ELECTIVE	CSE 21	Multimedia Systems	2	3rd year standing
0	ELECTIVE	CSE 21L	Multimedia Systems (Lab)	1	3rd year standing
0	ELECTIVE	CSE 22	Advanced Applications Development	2  	3rd year standing
0	ELECTIVE	CSE 22L	Advanced Applications Development (Lab)	1	3rd year standing
0	ELECTIVE	CSE 23	Computer Graphics	2  	3rd year standing
0	ELECTIVE	CSE 23L	Computer Graphics (Lab)	1	3rd year standing
0	ELECTIVE	CSE 24	Game Design and Development	2	3rd year standing
0	ELECTIVE	CSE 24L	Game Design and Development (Lab)	1	3rd year standing
0	ELECTIVE	CSE 25	UX Design and Concepts	3	3rd year standing
0	ELECTIVE	CSE 26	Field Trips and Seminars	3	3rd year standing
0	ELECTIVE	CSE 27	System Resource Management	3	3rd year standing
0	ELECTIVE	CSE 28	Current Trends 1	3	3rd year standing
0	ELECTIVE	CSE 29	Current Trends 2	3	3rd year standing
0	ELECTIVE	CSE 30	Special Topics 1	3	3rd year standing
0	ELECTIVE	CSE 31	Special Topics 2	3	3rd year standing
0	ELECTIVE	CSE 32	Information Technology Certification Review	3	3rd year standing
